"","team","salary","player","position","season"
"1","Minnesota Timberwolves",25200000,"Kevin Garnett","PF","2002-2003"
"2","Portland Trail Blazers",13500000,"Damon Stoudamire","PG","2002-2003"
"3","Seattle SuperSonics",13080000,"Gary Payton","PG","2002-2003"
"4","Seattle SuperSonics",12375000,"Ray Allen","SG","2002-2003"
"5","New York Knicks",12375000,"Latrell Sprewell","SG","2002-2003"
"6","Boston Celtics",12375000,"Antoine Walker","PF","2002-2003"
"7","Phoenix Suns",12375000,"Stephon Marbury","PG","2002-2003"
"8","San Antonio Spurs",12072000,"Tim Duncan","C","2002-2003"
"9","Orlando Magic",12072000,"Tracy McGrady","SG","2002-2003"
"10","Orlando Magic",12072000,"Grant Hill","SF","2002-2003"
"11","Indiana Pacers",12046000,"Reggie Miller","SG","2002-2003"
"12","Los Angeles Lakers",23571000,"Shaquille O'Neal","C","2002-2003"
"13","Toronto Raptors",1.2e+07,"Antonio Davis","PF","2002-2003"
"14","Dallas Mavericks",11953000,"Michael Finley","SG","2002-2003"
"15","Sacramento Kings",11248000,"Vlade Divac","C","2002-2003"
"16","Miami Heat",11200000,"Eddie Jones","SG","2002-2003"
"17","Miami Heat",11121000,"Brian Grant","PF","2002-2003"
"18","New York Knicks",1.1e+07,"Allan Houston","SG","2002-2003"
"19","Phoenix Suns",10890000,"Tom Gugliotta","PF","2002-2003"
"20","Milwaukee Bucks",10750000,"Tim Thomas","PF","2002-2003"
"21","Toronto Raptors",10625000,"Vince Carter","SF","2002-2003"
"22","San Antonio Spurs",10500000,"David Robinson","C","2002-2003"
"23","Orlando Magic",21500000,"Shawn Kemp","C","2002-2003"
"24","Dallas Mavericks",10003000,"Nick Van Exel","PG","2002-2003"
"25","San Antonio Spurs",9900000,"Steve Smith","SG","2002-2003"
"26","Atlanta Hawks",9860000,"Glenn Robinson","SF","2002-2003"
"27","Philadelphia 76ers",9830000,"Derrick Coleman","PF","2002-2003"
"28","Atlanta Hawks",9375000,"Theo Ratliff","C","2002-2003"
"29","New Jersey Nets",9260000,"Jason Kidd","PG","2002-2003"
"30","Houston Rockets",9200000,"Glen Rice","SF","2002-2003"
"31","Seattle SuperSonics",9185000,"Kenny Anderson","PG","2002-2003"
"32","Utah Jazz",9e+06,"John Stockton","G","2002-2003"
"33","New Jersey Nets",8717000,"Kerry Kittles","SG","2002-2003"
"34","Denver Nuggets",20625000,"Juwan Howard","PF","2002-2003"
"35","Detroit Pistons",8421000,"Clifford Robinson","PF","2002-2003"
"36","Portland Trail Blazers",19727000,"Scottie Pippen","SF","2002-2003"
"37","Utah Jazz",19250000,"Karl Malone","PF","2002-2003"
"38","Portland Trail Blazers",16200000,"Rasheed Wallace","PF","2002-2003"
"39","New Jersey Nets",16105000,"Dikembe Mutombo","C","2002-2003"
"40","Sacramento Kings",14343000,"Chris Webber","C","2002-2003"
"41","Milwaukee Bucks",8050000,"Toni Kukoc","SF","2002-2003"
"42","Portland Trail Blazers",8e+06,"Dale Davis","PF","2002-2003"
"43","Seattle SuperSonics",7975000,"Elden Campbell","C","2002-2003"
"44","Utah Jazz",7799000,"Greg Ostertag","C","2002-2003"
"45","New Orleans Hornets",7750000,"Jamal Mashburn","SF","2002-2003"
"46","Houston Rockets",7150000,"Maurice Taylor","PF","2002-2003"
"47","Portland Trail Blazers",7145000,"Derek Anderson","SG","2002-2003"
"48","Chicago Bulls",7140000,"Donyell Marshall","PF","2002-2003"
"49","Atlanta Hawks",7091000,"Alan Henderson","PF","2002-2003"
"50","New Orleans Hornets",7044000,"P.J. Brown","PF","2002-2003"
"51","Memphis Grizzlies",7e+06,"Wesley Person","SF","2002-2003"
"52","Indiana Pacers",6960000,"Austin Croshere","PF","2002-2003"
"53","Indiana Pacers",6950000,"Jermaine O'Neal","C","2002-2003"
"54","Golden State Warriors",6858000,"Erick Dampier","C","2002-2003"
"55","Denver Nuggets",6750000,"Marcus Camby","C","2002-2003"
"56","Houston Rockets",6696000,"Kelvin Cato","C","2002-2003"
"57","Indiana Pacers",6618000,"Ron Mercer","SG","2002-2003"
"58","Philadelphia 76ers",6600000,"Tyrone Hill","PF","2002-2003"
"59","Phoenix Suns",6555000,"Bo Outlaw","PF","2002-2003"
"60","New York Knicks",6100000,"Shandon Anderson","SF","2002-2003"
"61","LA Clippers",6061000,"Michael Olowokandi","C","2002-2003"
"62","Memphis Grizzlies",6050000,"Lorenzen Wright","PF","2002-2003"
"63","Washington Wizards",6e+06,"Jerry Stackhouse","SF","2002-2003"
"64","Golden State Warriors",6e+06,"Chris Mills","SF","2002-2003"
"65","Dallas Mavericks",5750000,"Steve Nash","PG","2002-2003"
"66","New York Knicks",5750000,"Charlie Ward","PG","2002-2003"
"67","Chicago Bulls",5726000,"Eddie Robinson","SF","2002-2003"
"68","Sacramento Kings",5625000,"Doug Christie","SG","2002-2003"
"69","Sacramento Kings",5625000,"Peja Stojakovic","SF","2002-2003"
"70","Golden State Warriors",5540000,"Bob Sura","PG","2002-2003"
"71","Sacramento Kings",5448000,"Mike Bibby","PG","2002-2003"
"72","Toronto Raptors",5350000,"Alvin Williams","PG","2002-2003"
"73","New York Knicks",5312000,"Howard Eisley","PG","2002-2003"
"74","Los Angeles Lakers",5300000,"Robert Horry","PF","2002-2003"
"75","Toronto Raptors",5250000,"Jerome Williams","PF","2002-2003"
"76","Milwaukee Bucks",5250000,"Jason Caffey","F","2002-2003"
"77","Seattle SuperSonics",5238000,"Vitaly Potapenko","C","2002-2003"
"78","Atlanta Hawks",5130000,"Nazr Mohammed","C","2002-2003"
"79","Memphis Grizzlies",5062000,"Brevin Knight","PG","2002-2003"
"80","Seattle SuperSonics",5040000,"Brent Barry","SG","2002-2003"
"81","Dallas Mavericks",4675000,"Shawn Bradley","C","2002-2003"
"82","Orlando Magic",4506000,"Darrell Armstrong","PG","2002-2003"
"83","Detroit Pistons",4500000,"Corliss Williamson","PF","2002-2003"
"84","Philadelphia 76ers",4500000,"Aaron McKie","SG","2002-2003"
"85","Milwaukee Bucks",4500000,"Sam Cassell","PG","2002-2003"
"86","Golden State Warriors",4469000,"Antawn Jamison","PF","2002-2003"
"87","Golden State Warriors",4400000,"Adonal Foyle","C","2002-2003"
"88","Houston Rockets",4383000,"Steve Francis","PG","2002-2003"
"89","Utah Jazz",4220000,"Mark Jackson","PG","2002-2003"
"90","Los Angeles Lakers",4170000,"Rick Fox","SF","2002-2003"
"91","Cleveland Cavaliers",4160000,"Michael Stewart","PF","2002-2003"
"92","Philadelphia 76ers",4125000,"Eric Snow","PG","2002-2003"
"93","New Jersey Nets",4067000,"Kenyon Martin","PF","2002-2003"
"94","Milwaukee Bucks",4030000,"Ervin Johnson","C","2002-2003"
"95","Boston Celtics",4e+06,"Tony Battie","C","2002-2003"
"96","New York Knicks",4e+06,"Travis Knight","C","2002-2003"
"97","Washington Wizards",3974000,"Kwame Brown","C","2002-2003"
"98","New Orleans Hornets",3942000,"Baron Davis","PG","2002-2003"
"99","Detroit Pistons",3850000,"Zeljko Rebraca","C","2002-2003"
"100","Indiana Pacers",3780000,"Tim Hardaway","G","2002-2003"
"101","Los Angeles Lakers",3740000,"Tracy Murray","SF","2002-2003"
"102","Boston Celtics",5004000,"Eric Williams","PF","2002-2003"
"103","Detroit Pistons",5e+06,"Ben Wallace","PF","2002-2003"
"104","Seattle SuperSonics",4992000,"Calvin Booth","C","2002-2003"
"105","Milwaukee Bucks",4992000,"Anthony Mason","F","2002-2003"
"106","Portland Trail Blazers",4992000,"Ruben Patterson","PF","2002-2003"
"107","Minnesota Timberwolves",4991000,"Joe Smith","PF","2002-2003"
"108","Philadelphia 76ers",4991000,"Todd MacCulloch","C","2002-2003"
"109","New York Knicks",4991000,"Clarence Weatherspoon","PF","2002-2003"
"110","Dallas Mavericks",4991000,"Avery Johnson","PG","2002-2003"
"111","Washington Wizards",4973000,"Christian Laettner","PF","2002-2003"
"112","Golden State Warriors",4935000,"Danny Fortson","C","2002-2003"
"113","Dallas Mavericks",4926000,"Raef LaFrentz","C","2002-2003"
"114","New York Knicks",4904000,"Kurt Thomas","PF","2002-2003"
"115","Houston Rockets",4903000,"Cuttino Mobley","SG","2002-2003"
"116","Washington Wizards",4903000,"Jahidi White","C","2002-2003"
"117","Seattle SuperSonics",4903000,"Rashard Lewis","PF","2002-2003"
"118","LA Clippers",4895000,"Elton Brand","PF","2002-2003"
"119","Sacramento Kings",4827000,"Scot Pollard","C","2002-2003"
"120","Indiana Pacers",4800000,"Brad Miller","C","2002-2003"
"121","New Orleans Hornets",3726000,"Robert Traylor","PF","2002-2003"
"122","Memphis Grizzlies",3656000,"Stromile Swift","PF","2002-2003"
"123","Miami Heat",3656000,"Anthony Carter","PG","2002-2003"
"124","New Orleans Hornets",3600000,"David Wesley","SG","2002-2003"
"125","Detroit Pistons",3600000,"Chucky Atkins","PG","2002-2003"
"126","Houston Rockets",3600000,"Moochie Norris","PG","2002-2003"
"127","Minnesota Timberwolves",3575000,"Marc Jackson","PF","2002-2003"
"128","LA Clippers",3557000,"Lamar Odom","PF","2002-2003"
"129","Memphis Grizzlies",3425000,"Jason Williams","PG","2002-2003"
"130","Portland Trail Blazers",3375000,"Antonio Daniels","PG","2002-2003"
"131","Miami Heat",3300000,"LaPhonso Ellis","F","2002-2003"
"132","Sacramento Kings",3300000,"Lawrence Funderburke","PF","2002-2003"
"133","Cleveland Cavaliers",3267000,"Darius Miles","SF","2002-2003"
"134","Orlando Magic",3263000,"Andrew DeClercq","C","2002-2003"
"135","Indiana Pacers",3226000,"Jonathan Bender","SF","2002-2003"
"136","Minnesota Timberwolves",3220000,"Anthony Peeler","SG","2002-2003"
"137","Memphis Grizzlies",3194000,"Pau Gasol","C","2002-2003"
"138","Detroit Pistons",3175000,"Jon Barry","SG","2002-2003"
"139","Washington Wizards",3159000,"Larry Hughes","SG","2002-2003"
"140","Dallas Mavericks",3104000,"Evan Eschmeyer","C","2002-2003"
"141","Los Angeles Lakers",3e+06,"Derek Fisher","PG","2002-2003"
"142","Toronto Raptors",3e+06,"Lindsey Hunter","SG","2002-2003"
"143","Orlando Magic",2962000,"Chris Whitney","PG","2002-2003"
"144","Chicago Bulls",2946000,"Marcus Fizer","F","2002-2003"
"145","Minnesota Timberwolves",2933000,"Wally Szczerbiak","SG","2002-2003"
"146","Dallas Mavericks",2923000,"Dirk Nowitzki","PF","2002-2003"
"147","Boston Celtics",2813000,"Mikki Moore","C","2002-2003"
"148","Boston Celtics",2793000,"Paul Pierce","SF","2002-2003"
"149","Portland Trail Blazers",2777000,"Bonzi Wells","SG","2002-2003"
"150","Atlanta Hawks",2775000,"Matt Maloney","G","2002-2003"
"151","New York Knicks",2753000,"Michael Doleac","C","2002-2003"
"152","Atlanta Hawks",2750000,"Chris Crawford","SF","2002-2003"
"153","Sacramento Kings",2726000,"Keon Clark","PF","2002-2003"
"154","Cleveland Cavaliers",2700000,"Bimbo Coles","PG","2002-2003"
"155","Phoenix Suns",2700000,"Randy Brown","G","2002-2003"
"156","New York Knicks",2700000,"Othella Harrington","PF","2002-2003"
"157","Sacramento Kings",2700000,"Bobby Jackson","PG","2002-2003"
"158","Memphis Grizzlies",2699000,"Michael Dickerson","G","2002-2003"
"159","Detroit Pistons",2681000,"Richard Hamilton","SG","2002-2003"
"160","Memphis Grizzlies",2668000,"Mike Miller","SG","2002-2003"
"161","Utah Jazz",2667000,"Matt Harpring","SF","2002-2003"
"162","Orlando Magic",2662000,"Horace Grant","C","2002-2003"
"163","LA Clippers",2640000,"Sean Rooks","C","2002-2003"
"164","New Jersey Nets",2640000,"Lucious Harris","SG","2002-2003"
"165","Detroit Pistons",2631000,"Hubert Davis","SG","2002-2003"
"166","San Antonio Spurs",2625000,"Steve Kerr","G","2002-2003"
"167","Detroit Pistons",2600000,"Michael Curry","SF","2002-2003"
"168","New Orleans Hornets",2600000,"George Lynch","SF","2002-2003"
"169","LA Clippers",2460000,"Andre Miller","PG","2002-2003"
"170","Minnesota Timberwolves",2436000,"Rasho Nesterovic","C","2002-2003"
"171","New Orleans Hornets",2400000,"Stacey Augmon","SF","2002-2003"
"172","Utah Jazz",2393000,"John Amaechi","PF","2002-2003"
"173","Memphis Grizzlies",2368000,"Shane Battier","SF","2002-2003"
"174","Phoenix Suns",2265000,"Shawn Marion","SG","2002-2003"
"175","Orlando Magic",2238000,"Pat Garrity","PF","2002-2003"
"176","Cleveland Cavaliers",2222000,"Chris Mihm","C","2002-2003"
"177","Houston Rockets",2162000,"Eddie Griffin","PF","2002-2003"
"178","Cleveland Cavaliers",2156000,"Ricky Davis","SG","2002-2003"
"179","Atlanta Hawks",2153000,"Jason Terry","G","2002-2003"
"180","Philadelphia 76ers",2148000,"Brian Skinner","PF","2002-2003"
"181","Indiana Pacers",2110000,"Al Harrington","PF","2002-2003"
"182","LA Clippers",2069000,"Corey Maggette","SF","2002-2003"
"183","Chicago Bulls",2026000,"Jamal Crawford","SG","2002-2003"
"184","Denver Nuggets",1987000,"Shammond Williams","PG","2002-2003"
"185","Cleveland Cavaliers",1980000,"DeSagana Diop","C","2002-2003"
"186","Indiana Pacers",1904000,"Metta World Peace","SF","2002-2003"
"187","Washington Wizards",1885000,"Tyronn Lue","PG","2002-2003"
"188","Milwaukee Bucks",1862000,"Joel Przybilla","C","2002-2003"
"189","Denver Nuggets",1821000,"Rodney White","SF","2002-2003"
"190","LA Clippers",1769000,"Keyon Dooling","PG","2002-2003"
"191","Phoenix Suns",1729000,"Joe Johnson","G","2002-2003"
"192","Houston Rockets",1723000,"James Posey","SF","2002-2003"
"193","New Orleans Hornets",1681000,"Jerome Moiso","C","2002-2003"
"194","Detroit Pistons",1650000,"Danny Manning","F","2002-2003"
"195","Boston Celtics",1643000,"Kedrick Brown","SG","2002-2003"
"196","Utah Jazz",1636000,"Tony Massenburg","PF","2002-2003"
"197","Washington Wizards",1605000,"Etan Thomas","C","2002-2003"
"198","Atlanta Hawks",1584000,"Dion Glover","SG","2002-2003"
"199","Indiana Pacers",1571000,"Jeff Foster","PF","2002-2003"
"200","Seattle SuperSonics",1561000,"Vladimir Radmanovic","SF","2002-2003"
"201","Philadelphia 76ers",1557000,"Kenny Thomas","PF","2002-2003"
"202","Los Angeles Lakers",1542000,"Devean George","SF","2002-2003"
"203","Los Angeles Lakers",1540000,"Samaki Walker","PF","2002-2003"
"204","New Orleans Hornets",1524000,"Courtney Alexander","SG","2002-2003"
"205","New Jersey Nets",1482000,"Richard Jefferson","F","2002-2003"
"206","Sacramento Kings",1441000,"Mateen Cleaves","PG","2002-2003"
"207","Cleveland Cavaliers",1419000,"Jumaine Jones","SF","2002-2003"
"208","Utah Jazz",1410000,"Scott Padgett","PF","2002-2003"
"209","Golden State Warriors",1409000,"Troy Murphy","PF","2002-2003"
"210","Los Angeles Lakers",1400000,"Brian Shaw","G","2002-2003"
"211","Chicago Bulls",1400000,"Corie Blount","PF","2002-2003"
"212","Philadelphia 76ers",1400000,"Monty Williams","SF","2002-2003"
"213","Houston Rockets",1376000,"Jason Collier","C","2002-2003"
"214","Sacramento Kings",1300000,"Hedo Turkoglu","SF","2002-2003"
"215","New Orleans Hornets",1300000,"Bryce Drew","PG","2002-2003"
"216","New Orleans Hornets",1271000,"Kirk Haston","F","2002-2003"
"217","Seattle SuperSonics",1235000,"Desmond Mason","SF","2002-2003"
"218","Toronto Raptors",1208000,"Michael Bradley","PF","2002-2003"
"219","LA Clippers",1174000,"Quentin Richardson","SF","2002-2003"
"220","New Jersey Nets",1147000,"Jason Collins","C","2002-2003"
"221","New Orleans Hornets",1126000,"Jamaal Magloire","C","2002-2003"
"222","Detroit Pistons",1100000,"Don Reid","F","2002-2003"
"223","San Antonio Spurs",1100000,"Danny Ferry","F","2002-2003"
"224","Philadelphia 76ers",1100000,"Mark Bryant","F","2002-2003"
"225","Portland Trail Blazers",1096000,"Zach Randolph","PF","2002-2003"
"226","San Antonio Spurs",1081000,"Speedy Claxton","PG","2002-2003"
"227","Toronto Raptors",1033000,"Morris Peterson","SG","2002-2003"
"228","Washington Wizards",1030000,"Michael Jordan","G","2002-2003"
"229","Seattle SuperSonics",1009000,"Joseph Forte","G","2002-2003"
"230","San Antonio Spurs",1e+06,"Kevin Willis","C","2002-2003"
"231","Denver Nuggets",992000,"Donnell Harvey","PF","2002-2003"
"232","Orlando Magic",969000,"Jeryl Sasser","G","2002-2003"
"233","Utah Jazz",956000,"DeShawn Stevenson","SG","2002-2003"
"234","New Jersey Nets",930000,"Brandon Armstrong","SG","2002-2003"
"235","Chicago Bulls",914000,"Dalibor Bagaric","C","2002-2003"
"236","Utah Jazz",893000,"Andrei Kirilenko","SF","2002-2003"
"237","Phoenix Suns",877000,"Jake Tsakalidis","C","2002-2003"
"238","Toronto Raptors",852000,"Mamadou N'diaye","C","2002-2003"
"239","San Antonio Spurs",824000,"Bruce Bowen","SF","2002-2003"
"240","LA Clippers",824000,"Cherokee Parks","PF","2002-2003"
"241","Atlanta Hawks",824000,"Emanual Davis","G","2002-2003"
"242","Los Angeles Lakers",817000,"Mark Madsen","PF","2002-2003"
"243","Indiana Pacers",805000,"Jamaal Tinsley","PG","2002-2003"
"244","Indiana Pacers",805000,"Primoz Brezec","C","2002-2003"
"245","San Antonio Spurs",8e+05,"Tony Parker","PG","2002-2003"
"246","Cleveland Cavaliers",749000,"Milt Palacio","PG","2002-2003"
"247","Sacramento Kings",714000,"Gerald Wallace","SF","2002-2003"
"248","Orlando Magic",7e+05,"Jacque Vaughn","PG","2002-2003"
"249","Golden State Warriors",7e+05,"Earl Boykins","PG","2002-2003"
"250","Miami Heat",637000,"Vladimir Stepania","C","2002-2003"
"251","Denver Nuggets",637000,"Mark Blount","C","2002-2003"
"252","Atlanta Hawks",612000,"Amal McCaskill","C","2002-2003"
"253","Portland Trail Blazers",612000,"Charles Smith","SG","2002-2003"
"254","Phoenix Suns",587000,"Jake Voskuhl","C","2002-2003"
"255","San Antonio Spurs",587000,"Stephen Jackson","SF","2002-2003"
"256","Denver Nuggets",587000,"Ryan Bowen","SF","2002-2003"
"257","Orlando Magic",587000,"Olumide Oyedeji","C","2002-2003"
"258","Seattle SuperSonics",526000,"Predrag Drobnjak","C","2002-2003"
"259","Chicago Bulls",512000,"Trenton Hassell","SF","2002-2003"
"260","Toronto Raptors",512000,"Damone Brown","PF","2002-2003"
"261","Golden State Warriors",512000,"Gilbert Arenas","PG","2002-2003"
"262","Denver Nuggets",512000,"Jeff Trepagnier","SG","2002-2003"
"263","New Jersey Nets",512000,"Brian Scalabrine","PF","2002-2003"
"264","Minnesota Timberwolves",2.8e+07,"Kevin Garnett","PF","2003-2004"
"265","Dallas Mavericks",13500000,"Antoine Walker","PF","2003-2004"
"266","Phoenix Suns",13500000,"Stephon Marbury","PG","2003-2004"
"267","Dallas Mavericks",13281000,"Michael Finley","SG","2003-2004"
"268","New York Knicks",13280000,"Keith Van Horn","PF","2003-2004"
"269","San Antonio Spurs",13279000,"Tim Duncan","C","2003-2004"
"270","Orlando Magic",13279000,"Tracy McGrady","SG","2003-2004"
"271","Toronto Raptors",13279000,"Jalen Rose","SG","2003-2004"
"272","Miami Heat",12320000,"Eddie Jones","SG","2003-2004"
"273","Miami Heat",12234000,"Brian Grant","PF","2003-2004"
"274","Sacramento Kings",12051000,"Vlade Divac","C","2003-2004"
"275","Los Angeles Lakers",26571000,"Shaquille O'Neal","C","2003-2004"
"276","Toronto Raptors",1.2e+07,"Antonio Davis","PF","2003-2004"
"277","Toronto Raptors",11953000,"Vince Carter","SF","2003-2004"
"278","New York Knicks",11825000,"Tim Thomas","PF","2003-2004"
"279","Utah Jazz",11668000,"Tom Gugliotta","PF","2003-2004"
"280","New Jersey Nets",10950000,"Jason Kidd","PG","2003-2004"
"281","Golden State Warriors",10912000,"Nick Van Exel","PG","2003-2004"
"282","Philadelphia 76ers",10730000,"Glenn Robinson","SF","2003-2004"
"283","Portland Trail Blazers",10156000,"Theo Ratliff","C","2003-2004"
"284","LA Clippers",9600000,"Glen Rice","SF","2003-2004"
"285","New Jersey Nets",9267000,"Kerry Kittles","SG","2003-2004"
"286","Portland Trail Blazers",1.8e+07,"Rasheed Wallace","PF","2003-2004"
"287","Utah Jazz",8666000,"Greg Ostertag","C","2003-2004"
"288","New Orleans Hornets",8525000,"Jamal Mashburn","SF","2003-2004"
"289","Milwaukee Bucks",8050000,"Toni Kukoc","SF","2003-2004"
"290","Houston Rockets",7800000,"Maurice Taylor","PF","2003-2004"
"291","Portland Trail Blazers",7794000,"Derek Anderson","SG","2003-2004"
"292","Memphis Grizzlies",7700000,"Wesley Person","SF","2003-2004"
"293","Atlanta Hawks",7682000,"Alan Henderson","PF","2003-2004"
"294","Indiana Pacers",7610000,"Austin Croshere","PF","2003-2004"
"295","Golden State Warriors",7482000,"Erick Dampier","C","2003-2004"
"296","Houston Rockets",7344000,"Kelvin Cato","C","2003-2004"
"297","New York Knicks",17895000,"Dikembe Mutombo","C","2003-2004"
"298","Denver Nuggets",7250000,"Marcus Camby","C","2003-2004"
"299","New York Knicks",15937000,"Allan Houston","SG","2003-2004"
"300","Sacramento Kings",15937000,"Chris Webber","C","2003-2004"
"301","Portland Trail Blazers",14625000,"Damon Stoudamire","PG","2003-2004"
"302","Seattle SuperSonics",13500000,"Ray Allen","SG","2003-2004"
"303","Minnesota Timberwolves",13500000,"Latrell Sprewell","SG","2003-2004"
"304","San Antonio Spurs",7169000,"Ron Mercer","SG","2003-2004"
"305","New York Knicks",6700000,"Shandon Anderson","SF","2003-2004"
"306","Memphis Grizzlies",6600000,"Lorenzen Wright","PF","2003-2004"
"307","Washington Wizards",6500000,"Jerry Stackhouse","SF","2003-2004"
"308","LA Clippers",6364000,"Elton Brand","PF","2003-2004"
"309","Sacramento Kings",6250000,"Doug Christie","SG","2003-2004"
"310","Sacramento Kings",6250000,"Peja Stojakovic","SF","2003-2004"
"311","Chicago Bulls",6246000,"Eddie Robinson","SF","2003-2004"
"312","Detroit Pistons",6166000,"Bob Sura","PG","2003-2004"
"313","San Antonio Spurs",6030000,"Charlie Ward","PG","2003-2004"
"314","Memphis Grizzlies",5955000,"Bo Outlaw","PF","2003-2004"
"315","Phoenix Suns",5843000,"Howard Eisley","PG","2003-2004"
"316","Dallas Mavericks",5750000,"Steve Nash","PG","2003-2004"
"317","Houston Rockets",5720000,"Steve Francis","PG","2003-2004"
"318","Seattle SuperSonics",5715000,"Vitaly Potapenko","C","2003-2004"
"319","New York Knicks",5700000,"Nazr Mohammed","C","2003-2004"
"320","Cleveland Cavaliers",5560000,"Eric Williams","PF","2003-2004"
"321","Washington Wizards",5526000,"Christian Laettner","PF","2003-2004"
"322","Toronto Raptors",5500000,"Alvin Williams","PG","2003-2004"
"323","Detroit Pistons",5500000,"Ben Wallace","PF","2003-2004"
"324","Portland Trail Blazers",5447000,"Ruben Patterson","PF","2003-2004"
"325","Seattle SuperSonics",5446000,"Calvin Booth","C","2003-2004"
"326","Milwaukee Bucks",5445000,"Joe Smith","PF","2003-2004"
"327","New York Knicks",5445000,"Clarence Weatherspoon","PF","2003-2004"
"328","Golden State Warriors",5445000,"Avery Johnson","PG","2003-2004"
"329","Dallas Mavericks",5428000,"Danny Fortson","C","2003-2004"
"330","Toronto Raptors",5400000,"Jerome Williams","PF","2003-2004"
"331","Seattle SuperSonics",5400000,"Brent Barry","SG","2003-2004"
"332","Washington Wizards",5394000,"Jahidi White","C","2003-2004"
"333","New York Knicks",5394000,"Kurt Thomas","PF","2003-2004"
"334","Houston Rockets",5393000,"Cuttino Mobley","SG","2003-2004"
"335","Indiana Pacers",5310000,"Scot Pollard","C","2003-2004"
"336","San Antonio Spurs",5300000,"Robert Horry","PF","2003-2004"
"337","Dallas Mavericks",5194000,"Shawn Bradley","C","2003-2004"
"338","New Orleans Hornets",5173000,"Baron Davis","PG","2003-2004"
"339","New Jersey Nets",5128000,"Kenyon Martin","PF","2003-2004"
"340","Washington Wizards",5062000,"Brevin Knight","PG","2003-2004"
"341","Detroit Pistons",5e+06,"Corliss Williamson","PF","2003-2004"
"342","Philadelphia 76ers",5e+06,"Aaron McKie","SG","2003-2004"
"343","Miami Heat",4692000,"Lamar Odom","PF","2003-2004"
"344","Sacramento Kings",3600000,"Lawrence Funderburke","PF","2003-2004"
"345","New York Knicks",3600000,"Moochie Norris","PG","2003-2004"
"346","Detroit Pistons",3596000,"Richard Hamilton","SG","2003-2004"
"347","Memphis Grizzlies",3417000,"Pau Gasol","C","2003-2004"
"348","Memphis Grizzlies",3380000,"Mike Miller","SG","2003-2004"
"349","Denver Nuggets",3317000,"Andre Miller","PG","2003-2004"
"350","Detroit Pistons",3300000,"Lindsey Hunter","SG","2003-2004"
"351","Washington Wizards",3259000,"Chris Whitney","PG","2003-2004"
"352","New York Knicks",3087000,"DerMarr Johnson","SF","2003-2004"
"353","Phoenix Suns",3069000,"Shawn Marion","SG","2003-2004"
"354","Los Angeles Lakers",3e+06,"Derek Fisher","PG","2003-2004"
"355","Atlanta Hawks",3e+06,"Chris Crawford","SF","2003-2004"
"356","Atlanta Hawks",2933000,"Jason Terry","G","2003-2004"
"357","Miami Heat",2925000,"Bimbo Coles","PG","2003-2004"
"358","New Jersey Nets",2925000,"Aaron Williams","C","2003-2004"
"359","New York Knicks",2925000,"Othella Harrington","PF","2003-2004"
"360","Dallas Mavericks",2925000,"Tony Delk","PG","2003-2004"
"361","Sacramento Kings",2925000,"Bobby Jackson","PG","2003-2004"
"362","Los Angeles Lakers",2903000,"Horace Grant","C","2003-2004"
"363","New Jersey Nets",2894000,"Hubert Davis","SG","2003-2004"
"364","LA Clippers",2862000,"Corey Maggette","SF","2003-2004"
"365","Memphis Grizzlies",4614000,"Stromile Swift","PF","2003-2004"
"366","Houston Rockets",4580000,"Mark Jackson","PG","2003-2004"
"367","Los Angeles Lakers",4549000,"Rick Fox","SF","2003-2004"
"368","Toronto Raptors",4500000,"Lamond Murray","SF","2003-2004"
"369","Philadelphia 76ers",4500000,"Eric Snow","PG","2003-2004"
"370","Cleveland Cavaliers",4480000,"Michael Stewart","PF","2003-2004"
"371","Cleveland Cavaliers",4400000,"Tony Battie","C","2003-2004"
"372","Golden State Warriors",4400000,"Adonal Foyle","C","2003-2004"
"373","Indiana Pacers",4278000,"Jonathan Bender","SF","2003-2004"
"374","Washington Wizards",4252000,"Kwame Brown","C","2003-2004"
"375","Detroit Pistons",4200000,"Zeljko Rebraca","C","2003-2004"
"376","Portland Trail Blazers",4130000,"Darius Miles","SF","2003-2004"
"377","San Antonio Spurs",4063000,"Anthony Carter","PG","2003-2004"
"378","New Orleans Hornets",3960000,"David Wesley","SG","2003-2004"
"379","Minnesota Timberwolves",3912000,"Wally Szczerbiak","SG","2003-2004"
"380","Detroit Pistons",3900000,"Chucky Atkins","PG","2003-2004"
"381","Philadelphia 76ers",3900000,"Marc Jackson","PF","2003-2004"
"382","Chicago Bulls",3726000,"Marcus Fizer","F","2003-2004"
"383","Orlando Magic",3625000,"Andrew DeClercq","C","2003-2004"
"384","Cleveland Cavaliers",2823000,"Chris Mihm","C","2003-2004"
"385","Toronto Raptors",2800000,"Michael Curry","SF","2003-2004"
"386","New Orleans Hornets",2800000,"George Lynch","SF","2003-2004"
"387","Indiana Pacers",2676000,"Metta World Peace","SF","2003-2004"
"388","New York Knicks",2610000,"John Amaechi","PF","2003-2004"
"389","Chicago Bulls",2577000,"Jamal Crawford","SG","2003-2004"
"390","Memphis Grizzlies",2533000,"Shane Battier","SF","2003-2004"
"391","Memphis Grizzlies",2445000,"James Posey","SF","2003-2004"
"392","New Orleans Hornets",2400000,"Stacey Augmon","SF","2003-2004"
"393","Milwaukee Bucks",2373000,"Joel Przybilla","C","2003-2004"
